0.4233	0.00016	-0.00173	-0.00208	
0.4267	-0.00060	-0.00018	-0.00124	
0.4300	0.00196	0.00352	-0.00176	
0.4333	0.00053	0.00738	-0.00223	
0.4367	0.000	0.00632	-0.00244	
0.4400	-0.00182	0.00027	-0.00158	
0.4433	-0.00041	-0.00018	-0.00102	
0.4467	0.000	0.00073	-0.00089	
0.4500	0.00096	0.00423	-0.00371	
0.4533	0.00024	0.00679	-0.00199	
0.4567	-0.00111	0.00614	-0.00294	
0.4600	-0.00162	0.00195	-0.00314	
0.4633	-0.00243	0.00152	-0.00362	
0.4667	-0.00108	0.00168	-0.00287	
0.4700	-0.00029	0.00653	-0.00165	
0.4733	0.00017	0.00709	-0.00243	
0.4767	-0.00181	0.00780	-0.00226	
0.4800	-0.00108	0.00298	-0.00109	
0.4833	-0.00223	-0.00117	-0.00034	
0.4867	0.00176	0.000	-0.00083	
0.4900	0.00126	0.00483	-0.00365	
0.4933	0.00268	0.00792	-0.00152	
0.4967	0.00153	0.00817	-0.00236	
0.5000	0.00097	0.00356	-0.00158	
0.5033	-0.00078	0.00014	-0.00083	
0.5067	0.00021	-0.00208	-0.00274	
0.5100	-0.00091	0.00241	-0.00208	
0.5133	-0.00108	0.00533	-0.00180	
0.5167	-0.00179	0.00771	-0.00256	
0.5200	-0.00262	0.00359	-0.00285	
0.5233	-0.00310	0.000	-0.00173	
0.5267	-0.00243	-0.00029	-0.00222	
0.5300	-0.00060	0.00035	-0.00368	
0.5333	-0.00153	0.00397	-0.00297	
0.5367	-0.00142	0.00562	-0.00329	
0.5400	-0.00333	0.00486	-0.00181	
0.5433	-0.00028	0.00129	-0.00224	
0.5467	-0.00057	-0.00159	-0.00235	
0.5500	0.00151	0.00112	-0.00350	
0.5533	0.000	0.00485	-0.00340	
0.5567	0.00233	0.00695	-0.00411	
0.5600	0.00049	0.00491	-0.00242	
0.5633	-0.00013	0.00271	-0.00262	
0.5667	-0.00011	-0.00147	-0.00207	
0.5700	0.00096	0.00192	-0.00185	
0.5733	-0.00041	0.00276	-0.00192	
0.5767	-0.00113	0.00561	-0.00383	
0.5800	-0.00231	0.00285	-0.00302	
0.5833	-0.00168	-0.00047	-0.00086	
0.5867	-0.00222	-0.00103	-0.00224	
0.5900	-0.00043	0.00011	-0.00342	
0.5933	-0.00087	0.00333	-0.00138	
0.5967	-0.00078	0.00745	-0.00228	
0.6000	-0.00064	0.00614	-0.00322	
0.6033	-0.00108	0.00247	-0.00098	
0.6067	-0.00050	-0.00083	-0.00134	
0.6100	0.00023	-0.00011	-0.00201	
0.6133	0.00166	0.00252	-0.00199	
0.6167	0.00055	0.00508	-0.00216	
0.6200	0.00029	0.00594	-0.00297	
0.6233	-0.00036	0.00409	-0.00189	
0.6267	-0.00030	0.00064	-0.00286	
0.6300	0.00052	-0.00065	-0.00212	
0.6333	0.00095	0.00258	-0.00238	
0.6367	-0.00069	0.00518	-0.00238	
0.6400	-0.00079	0.00633	-0.00204	
0.6433	-0.00142	0.00161	-0.00160	
0.6467	0.00034	0.000	-0.00172	
0.6500	-0.00029	-0.00044	-0.00239	
0.6533	0.000	0.00206	-0.00234	
0.6567	-0.00118	0.00406	-0.00201	
0.6600	-0.00021	0.00695	-0.00337	
0.6633	-0.00146	0.00389	-0.00216	
0.6667	-0.00061	0.00102	-0.00168	
0.6700	0.00021	-0.00144	-0.00217	
0.6733	-0.00066	0.00133	-0.00222	
0.6767	-0.00062	0.00633	-0.00189	
0.6800	-0.00198	0.00668	-0.00209	
0.6833	-0.00162	0.00461	-0.00279	
0.6867	-0.00171	0.00150	-0.00262	
0.6900	-0.00130	0.00085	-0.00172	
0.6933	-0.00091	0.00245	-0.00134	
0.6967	0.000	0.00597	-0.00093	
0.7000	-0.00098	0.00674	-0.00224	
0.7033	-0.00098	0.00753	-0.00270	
0.7067	-0.00060	0.00335	-0.00285	
0.7100	-0.00061	0.00203	-0.00177	
0.7133	0.000	0.00245	-0.00129	
0.7167	0.00104	0.00488	-0.00146	
0.7200	-0.00022	0.00653	-0.00286	
0.7233	0.000	0.00480	-0.00230	
0.7267	0.000	0.00026	-0.00109	
0.7300	0.00096	-0.00179	-0.00306	
0.7333	0.00249	-0.00020	-0.00220	
0.7367	0.00089	0.00317	-0.00189	
0.7400	0.00047	0.00624	-0.00203	
0.7433	0.00051	0.00367	-0.00305	
0.7467	0.00017	0.00130	-0.00091	
0.7500	0.00039	-0.00136	-0.00252	
0.7533	0.000	0.00048	-0.00179	
0.7567	-0.00028	0.00264	-0.00199	
0.7600	-0.00101	0.00579	-0.00215	
0.7633	-0.00172	0.00545	-0.00177	
0.7667	-0.00109	0.00294	-0.00230	
0.7700	-0.00021	0.00035	-0.00209	
0.7733	-0.00055	-0.00039	-0.00185	
0.7767	-0.00069	0.00244	-0.00255	
0.7800	-0.00145	0.00661	-0.00281	
0.7833	-0.00126	0.00745	-0.00094	
0.7867	-0.00155	0.00438	-0.00170	
0.7900	-0.00070	0.00056	-0.00287	
0.7933	0.00017	-0.00174	-0.00267	
0.7967	0.00032	0.00083	-0.00173	
0.8000	0.00097	0.00527	-0.00252	
0.8033	-0.00132	0.00749	-0.00315	
0.8067	-0.00034	0.00412	-0.00175	
0.8100	0.00028	0.00221	-0.00175	
0.8133	0.00114	-0.00108	-0.00262	
0.8167	-0.00084	0.00200	-0.00209	
0.8200	0.000	0.00532	-0.00242	
0.8233	-0.00165	0.00755	-0.00294	
0.8267	-0.00160	0.00439	-0.00236	
0.8300	-0.00187	0.00071	-0.00247	
0.8333	-0.00013	-0.00168	-0.00191	
0.8367	-0.00081	0.00100	-0.00305	
0.8400	-0.00210	0.00455	-0.00216	
0.8433	-0.00182	0.00679	-0.00201	
0.8467	-0.00234	0.00677	-0.00232	
0.8500	-0.00109	0.00074	-0.00149	
0.8533	0.00024	-0.00227	-0.00258	
0.8567	0.000	-0.00053	-0.00114	
0.8600	-0.00120	0.00335	-0.00302	
0.8633	-0.00114	0.00703	-0.00212	
0.8667	-0.00181	0.00586	-0.00175	
0.8700	-0.00078	0.00336	-0.00184	
0.8733	-0.00030	0.00065	-0.00146	
0.8767	0.00068	-0.00048	-0.00203	
0.8800	0.00013	0.00239	-0.00188	
0.8833	0.000	0.00609	-0.00130	
0.8867	-0.00120	0.00497	-0.00134	
0.8900	0.00029	0.00306	-0.00297	
0.8933	0.00100	-0.00092	-0.00165	
0.8967	0.00118	-0.00038	-0.00223	
0.9000	0.00068	0.00206	-0.00124	
0.9033	0.00049	0.00597	-0.00118	
0.9067	0.000	0.00592	-0.00252	
0.9100	0.00115	0.00418	-0.00085	
0.9133	0.00175	0.00026	-0.00094	
0.9167	0.00108	0.00085	-0.00130	
0.9200	0.00049	0.00321	-0.00279	
0.9233	-0.00132	0.00602	-0.00170	
0.9267	-0.00159	0.00670	-0.00160	
0.9300	-0.00145	0.00238	-0.00141	
0.9333	0.000	-0.00042	-0.00230	
0.9367	-0.00029	-0.00136	-0.00145	
0.9400	0.00069	0.00177	-0.00132	
0.9433	-0.00041	0.00517	-0.00303	
0.9467	0.00070	0.00670	-0.00324	
0.9500	-0.00027	0.00353	-0.00199	
0.9533	0.00189	0.00062	-0.00070	
0.9567	0.00279	-0.00233	-0.00283	
0.9600	0.00289	-0.00059	-0.00192	
0.9633	0.00290	0.00298	-0.00177	
0.9667	0.00260	0.00606	-0.00223	
0.9700	0.00378	0.00562	-0.00195	
0.9733	0.00347	0.00144	-0.00028	
0.9767	0.00453	-0.00012	-0.00172	
0.9800	0.00273	0.00036	-0.00273	
0.9833	0.00179	0.00312	-0.00223	
