t,a_abs (m/s2),a1_measured (m/s2)
77.84,,-0.00072867188
77.84,,-0.00038349955
77.85,,-4.9437497e-05
77.85,,0.00027255886
77.85,,0.0005826125
77.86,,0.0008816468
77.86,,0.0011710412000000001
77.86,,0.0014522556000000002
77.87,,0.0017264593000000002
77.87,,0.001994203
77.87,,0.0022551627
77.88,,0.0025079829
77.88,,0.0027502320000000005
77.88,,0.0029784771
77.89,,0.0031884689999999998
77.89,,0.0033754233
77.89,,0.0035343709
77.9,,0.003660546
77.9,,0.0037497781
77.9,,0.0037988502000000004
77.91,,0.0038057936
77.91,,0.0037700909
77.91,,0.0036927693
77.92,,0.0035763767000000003
77.92,,0.0034248408000000004
77.92,,0.0032432246
77.93,,0.0030373977
77.93,,0.0028136532
77.93,,0.0025783006
77.94,,0.0023372698
77.94,,0.0020957587
77.94,,0.0018579519
77.95,,0.0016268325
77.95,,0.0014041002
77.95,,0.0011902002
77.96,,0.0009844554
77.96,,0.00078528985
77.96,,0.0005905199500000001
77.97,,0.00039768729
77.97,,0.00020440328000000002
77.97,,8.6756233e-06
77.98,,-0.00019081062
77.98,,-0.00039447997
77.98,,-0.0006017376599999999
77.99,,-0.0008109331500000001
77.99,,-0.0010194166
77.99,,-0.0012236803
78.0,,-0.0014195716
78.0,,-0.0016025561999999998
78.0,,-0.0017680100000000002
78.01,,-0.0019115152
78.01,,-0.0020291355000000002
78.01,,-0.0021176529
78.02,,-0.0021747461
78.02,,-0.0021991039000000003
78.02,,-0.0021904657
78.03,,-0.0021495933
78.03,,-0.002078179
78.03,,-0.0019787038000000003
78.04,,-0.0018542583000000002
78.04,,-0.0017083445
78.04,,-0.0015446735
78.05,,-0.0013669761
78.05,,-0.0011788365000000001
78.05,,-0.0009835598
78.06,,-0.0007840791599999999
78.06,,-0.00058290164
78.06,,-0.00038209297000000003
78.07,,-0.00018329472
78.07,,1.2232868e-05
78.07,,0.00020355082000000002
78.08,,0.00038997261
78.08,,0.00057099428
78.08,,0.00074622992
78.09,,0.0009153569300000001
78.09,,0.0010780735
78.09,,0.001234069
78.1,,0.0013830054
78.1,,0.0015245086
78.1,,0.0016581654000000002
78.11,,0.0017835228000000001
78.11,,0.0019000886
78.11,,0.0020073291
78.12,,0.0021046651
78.12,,0.0021914645
78.12,,0.0022670346
78.13,,0.0023306152
78.13,,0.0023813755
78.13,,0.0024184159
78.14,,0.00244078
78.14,,0.0024474743
78.14,,0.0024374989
78.15,,0.0024098872
78.15,,0.0023637529
78.15,,0.0022983419
78.16,,0.0022130847
78.16,,0.0021076476
78.16,,0.0019819761
78.17,,0.0018363304
78.17,,0.0016713080999999999
78.17,,0.0014878540000000003
78.18,,0.0012872565
78.18,,0.0010711303
78.18,,0.0008413883699999999
78.19,,0.0006002036100000001
78.19,,0.00034996475999999997
78.19,,9.3227351e-05
78.2,,-0.00016733695999999998
78.2,,-0.00042899101000000005
78.2,,-0.00068898137
78.21,,-0.00094458544
78.21,,-0.0011931561000000002
78.21,,-0.0014321639
78.22,,-0.0016592372
78.22,,-0.0018721997000000002
78.22,,-0.0020691054
78.23,,-0.0022482697
78.23,,-0.0024082959000000003
78.23,,-0.0025480930000000004
78.24,,-0.0026668859000000002
78.24,,-0.0027642116
78.24,,-0.0028399034
78.25,,-0.0028940596000000002
78.25,,-0.0029269977000000004
78.25,,-0.0029391962
78.26,,-0.0029312270000000002
78.26,,-0.0029036844000000003
78.26,,-0.0028571152
78.27,,-0.00279196
78.27,,-0.0027085113
78.27,,-0.0026068954
78.28,,-0.0024870851
78.28,,-0.0023489448
78.28,,-0.0021923093
78.29,,-0.0020170929
78.29,,-0.0018234228
78.29,,-0.0016117855
78.3,,-0.0013831753999999999
78.3,,-0.0011392299
78.3,,-0.00088233623
78.31,,-0.00061569674
78.31,,-0.00034333875
78.31,,-7.0062325e-05
78.32,,0.0001986789
78.32,,0.0004569617
78.32,,0.0006986348100000001
78.33,,0.00091760495
78.33,,0.0011081497
78.33,,0.0012652353
78.34,,0.0013848174
78.34,,0.0014640992
78.34,,0.0015017279
78.35,,0.0014979106
78.35,,0.0014544377
78.35,,0.0013746097
78.36,,0.0012630681
78.36,,0.0011255416999999999
78.36,,0.00096852441
78.37,,0.0007989068100000001
78.37,,0.00062358784
78.37,,0.00044909497
78.38,,0.00028124002
78.38,,0.00012483543999999998
78.38,,-1.6509275e-05
78.39,,-0.00014049769000000001
78.39,,-0.00024615781999999997
78.39,,-0.00033375709000000003
78.4,,-0.00040463142
78.4,,-0.00046094561
78.4,,-0.00050540739
78.41,,-0.00054096105
78.41,,-0.0005704873500000001
78.41,,-0.0005965349400000001
78.42,,-0.00062110539
78.42,,-0.0006455081599999999
