Tiempo [s],u [m],v [m/s],a [m/s²]
51.53,-3.630531073560231e-07,-2.2110766249550115e-05,0.00011770811940716098
51.53,-4.356750461052172e-07,-2.168848724161636e-05,0.00015361035211236616
51.54,-5.065930545958129e-07,-2.1147389730982908e-05,0.00018848582932780135
51.54,-5.754195111708409e-07,-2.0490861375762512e-05,0.00022237638407294994
51.54,-6.417776291166777e-07,-1.972211779746625e-05,0.0002553629611709603
51.55,-7.053006329283839e-07,-1.884409490407901e-05,0.0002875383823181285
51.55,-7.656308086144932e-07,-1.785943379768189e-05,0.00031897794944084503
51.55,-8.224187480645848e-07,-1.6770563490483244e-05,0.0003497102645574353
51.56,-8.753231035261371e-07,-1.557987825435954e-05,0.0003796912100030168
51.56,-9.240111351648247e-07,-1.4289997228992078e-05,0.0004087832974592639
51.56,-9.681602739731056e-07,-1.2904086235439752e-05,0.00043674297435643787
51.57,-1.007460837638664e-06,-1.1426214242028081e-05,0.00046321712189594736
51.57,-1.0416199345692506e-06,-9.86171272951434e-06,0.00048775008185200137
51.57,-1.0703664789965327e-06,-8.2175031590553e-06,0.0005098008527960343
51.58,-1.0934571272726752e-06,-6.5023589997834e-06,0.0005287700298779551
51.58,-1.1106828415851997e-06,-4.727071504430667e-06,0.0005440344878024748
51.58,-1.1218757019399428e-06,-2.904495287258076e-06,0.0005549875691053731
51.59,-1.1269155288755176e-06,-1.0494580532811265e-06,0.0005610815377373286
51.59,-1.1257358540039877e-06,8.214704318219261e-07,0.0005618691294601827
51.59,-1.118328787235647e-06,2.690343961750434e-06,0.0005570404085648426
51.6,-1.104748379288334e-06,4.538322018069954e-06,0.0005464520078280945
51.6,-1.0851121630563757e-06,6.346240478852465e-06,0.0005301457048032923
51.6,-1.0596006723416845e-06,8.095233890156286e-06,0.0005083545683438335
51.61,-1.0284548726846116e-06,9.767366958080967e-06,0.0004814955837205204
51.61,-9.919715858600518e-07,1.1346230303337049e-05,0.00045014889229572287
51.61,-9.504971351608377e-07,1.2817456924679887e-05,0.0004150249231563845
51.62,-9.044195702368744e-07,1.4169120941793004e-05,0.00037692173358209845
51.62,-8.541599364478403e-07,1.539198869154502e-05,0.00033667581172384394
51.62,-8.0016312458053e-07,1.6479603620797046e-05,0.00029511022446736273
51.63,-7.42888865030562e-07,1.7428199736978845e-05,0.00025298444320585335
51.63,-6.828034126201263e-07,1.8236452605453736e-05,0.00021094992270650193
51.63,-6.20372404442995e-07,1.8905090423789725e-05,0.00016951545683123703
51.64,-5.56055267729687e-07,1.9436400145566047e-05,0.00012902517084162669
51.64,-4.903014158908857e-07,1.9833672687252755e-05,8.965144418613545e-05
51.64,-4.2354830982798504e-07,2.0100637450503312e-05,5.140332063646481e-05
51.65,-3.562212921708569e-07,2.0240937452540673e-05,1.415000758118984e-05
51.65,-2.8873493890710356e-07,2.0257693691549277e-05,-2.2342539869019132e-05
51.65,-2.2149553043248894e-07,2.0153199807147564e-05,-5.836501713103983e-05
51.66,-1.549041357977493e-07,1.9928776956309663e-05,-9.421231689898439e-05
51.66,-8.935973997895787e-08,1.9584804617352242e-05,-0.0001301297752582909
51.66,-2.5261831141075492e-08,1.912092738686069e-05,-0.00016626324185756606
51.67,3.6988094486811855e-08,1.853642130431775e-05,-0.00020261743618760203
51.67,9.698656102386574e-08,1.783068854140416e-05,-0.00023902684116804202
51.67,1.5432999017129475e-07,1.700383630366735e-05,-0.00027514196756554045
51.68,2.086185747124377e-07,1.6057287156609728e-05,-0.00031043285144310924
51.68,2.594621094117073e-07,1.4994363330690228e-05,-0.00034420978711008495
