t,u (m),v (m/s),a (m/s2)
166.55,2.0749033481622173e-08,3.3869982039766155e-07,-1.1075819269100543e-05
166.55,2.1813353515530564e-08,3.0010189057986205e-07,-1.3090048908014877e-05
166.55,2.27380176826856e-08,2.5489337718094243e-07,-1.4980058735894494e-05
166.56,2.3501757507642264e-08,2.0352925145225692e-07,-1.669676260211882e-05
166.56,2.408510272409564e-08,1.4663287161131868e-07,-1.8185354638710152e-05
166.56,2.4470971385370744e-08,8.501347218251649e-08,-1.9387200925010336e-05
166.57,2.464530644615602e-08,1.9676645218318068e-08,-2.0242574235420364e-05
166.57,2.4597730975661448e-08,-4.8174887873563654e-08,-2.0694101066745558e-05
166.57,2.4322186061672506e-08,-1.1715238483761793e-07,-2.0690676954905957e-05
166.58,2.3817509603237874e-08,-1.8570541879373701e-07,-2.019159378060217e-05
166.58,2.308791126926208e-08,-2.5215985686882023e-07,-1.9170528739197453e-05
166.58,2.2143299419687092e-08,-3.1476875192806835e-07,-1.7619073147666698e-05
166.59,2.099942003395125e-08,-3.717743298489023e-07,-1.554946067229251e-05
166.59,1.96777755220147e-08,-4.214781835932506e-07,-1.2996230801691726e-05
166.59,1.8205302368526056e-08,-4.623159162187342e-07,-1.0016577153367979e-05
166.6,1.661380021355788e-08,-4.929317813431143e-07,-6.689299497969915e-06
166.6,1.4939120254081182e-08,-5.122486035578632e-07,-3.112283626573064e-06
166.6,1.3220136669756086e-08,-5.195281828436805e-07,6.013574465963238e-07
166.61,1.1497539975978788e-08,-5.144178562853447e-07,4.328318329879113e-06
166.61,9.812504510049916e-09,-4.969795476353561e-07,7.94101129436619e-06
166.61,8.205292711858149e-09,-4.67698693889941e-07,1.1313983733790426e-05
166.62,6.713865436206807e-09,-4.274717086835197e-07,1.4330421597652026e-05
166.62,5.372569655505648e-09,-3.775720494491298e-07,1.6888314567671497e-05
166.62,4.21097229425899e-09,-3.195963892850635e-07,1.8905834876299912e-05
166.63,3.2529015799458038e-09,-2.5539381573803953e-07,2.0325568547360422e-05
166.63,2.515745630085455e-09,-1.8698213868432408e-07,2.11172907535569e-05
166.63,2.010042834249036e-09,-1.1645633234906408e-07,2.1279078776245432e-05
166.64,1.7393808775817255e-09,-4.589472608796092e-08,2.08366746107828e-05
166.64,1.7006022639454179e-09,2.2731263247371133e-08,1.9841147250891136e-05
166.64,1.884295341890461e-09,8.763832547407445e-08,1.8365017673728784e-05
166.65,2.2755324761640167e-09,1.472984817971516e-07,1.6497120553279607e-05
166.65,2.8548023709263266e-09,2.0048844340462373e-07,1.433657977564748e-05
166.65,3.5990727605862766e-09,2.4631851954135503e-07,1.1986341272375455e-05
166.66,4.4829135663057615e-09,2.842399865546275e-07,9.546727691648062e-06
166.66,5.479609580091356e-09,3.140313839692917e-07,7.109486825125093e-06
166.66,6.562195841833494e-09,3.357657383892672e-07,4.752759723539349e-06
166.67,7.704357812978178e-09,3.497620839088099e-07,2.5373321653130413e-06
166.67,8.881151513841262e-09,3.565257607422372e-07,5.044141154929777e-07
166.67,1.0069514918619163e-08,3.5668269799347973e-07,-1.324917681849963e-06
166.68,1.1248559813978584e-08,3.509132345419582e-07,-2.9486017411203035e-06
166.68,1.2399651652430856e-08,3.3989093632110417e-07,-4.380950052700495e-06
166.68,1.3506302165149647e-08,3.24231299706998e-07,-5.648710100625105e-06
166.69,1.455391429314218e-08,3.0445434386564886e-07,-6.786212062449692e-06
166.69,1.55294301757322e-08,2.8096380017078224e-07,-7.830010728933927e-06
166.69,1.6420939561986123e-08,2.540441749273021e-07,-8.81351178238043e-06
166.7,1.7217307605342455e-08,2.2387536189376767e-07,-9.762033206923274e-06
166.7,1.790787742060022e-08,1.9056297934512957e-07,-1.0688751613044396e-05
166.7,1.8482294325583514e-08,1.5418117442230216e-07,-1.1591902522749435e-05
166.71,1.8930485979672626e-08,1.1482351277111937e-07,-1.2453477168679157e-05
166.71,1.9242816808542112e-08,7.265683300464548e-08,-1.3239574309445391e-05
166.71,1.9410417433218767e-08,2.7972565216158175e-08,-1.3902387922221191e-05
166.72,1.9425671742277854e-08,-1.8769843278471195e-08,-1.438371544783959e-05
166.72,1.928282729433774e-08,-6.69122267222056e-08,-1.4619702481078478e-05
166.72,1.8978680334922503e-08,-1.1558354261364247e-07,-1.4546460194366893e-05
166.73,1.8513276153073416e-08,-1.637047830505144e-07,-1.4106096638227751e-05
166.73,1.7890559669408295e-08,-2.100139318338915e-07,-1.3252677748083026e-05
166.73,1.7118910625977485e-08,-2.5311030686427215e-07,-1.1957606669551219e-05
166.74,1.621150270510182e-08,-2.9151596847895117e-07,-1.0213964908079007e-05
166.74,1.5186436064327654e-08,-3.237504099592636e-07,-8.039427480777666e-06
166.74,1.4066607363832527e-08,-3.484135485988405e-07,-5.477478132178268e-06
166.75,1.2879299318142693e-08,-3.6427121417936037e-07,-2.5967605753743607e-06
166.75,1.1655491800470153e-08,-3.7033692289327155e-07,5.114326941686672e-07
166.75,1.0428917006816948e-08,-3.659438467655036e-07,3.7373922389514467e-06
166.76,9.23490050781687e-09,-3.5080146327235614e-07,6.958679918216372e-06
166.76,8.109046720862026e-09,-3.25032363603131e-07,1.0046873795667341e-05
166.76,7.085840094932293e-09,-2.891860791140653e-07,1.2874911580151884e-05
166.77,6.197241085509625e-09,-2.4422838624720114e-07,1.5324486139930717e-05
166.77,5.471358157087089e-09,-1.9150633780434704e-07,1.7292987328057903e-05
166.77,4.931273417529206e-09,-1.3269095282683676e-07,1.8699486174035416e-05
166.78,4.594090352126499e-09,-6.970112161872882e-08,1.9489324132308717e-05
166.78,4.4702580726743706e-09,-4.613616355983391e-09,1.9637018630343357e-05
166.78,4.563208697447246e-09,6.043499640569627e-08,1.9147264144095755e-05
166.79,4.869324243858224e-09,1.233481762924927e-07,1.8054008654558055e-05
166.79,5.37822825370192e-09,1.821646195218079e-07,1.6417692096452294e-05
166.79,6.073376936073454e-09,2.3514292629403804e-07,1.4320879393553384e-05
166.8,6.932906334507379e-09,2.808306772060091e-07,1.1862652182375409e-05
166.8,7.930677318132045e-09,3.1811413613277623e-07,9.152185407699857e-06
166.8,9.037450053815771e-09,3.4624626990695326e-07,6.301997698119822e-06
166.81,1.0222114665518621e-08,3.6485242187718153e-07,3.4213848996237868e-06
166.81,1.145290531571024e-08,3.7391462555232206e-07,6.104875827290298e-07
166.81,1.2698530695784321e-08,3.73737026020665e-07,-2.04458214446026e-06
166.82,1.3929164297222231e-08,3.6489618593144547e-07,-4.475259597109172e-06
166.82,1.511725190236522e-08,3.481809502226707e-07,-6.6325001330577846e-06
166.82,1.6238110179638097e-08,3.2452707646215096e-07,-8.487142557529734e-06
